# Virtual Automated Threat Hunting Console - emulated packet header log
# Simulation only: no live packets were captured or routed.
# target_ip=192.168.50.23 target_mac=28:6c:07:aa:11:09 target_hostname=mimo-phone
# generated_at=2026-05-25T17:55:01.861+00:00
ts=2026-05-25T17:55:01.859+00:00 | frame_id=1 | src_ip=192.168.50.10 | dst_ip=17.253.144.10 | src_mac=8c:85:90:4a:2f:11 | dst_mac=44:65:0d:10:20:01 | protocol=TCP | src_port=58187 | dst_port=443 | flags=TLS_CLIENT_HELLO | payload=encrypted_tls_session
ts=2026-05-25T17:55:01.859+00:00 | frame_id=2 | src_ip=192.168.50.44 | dst_ip=192.168.50.1 | src_mac=b8:27:eb:0a:13:7b | dst_mac=44:65:0d:10:20:01 | protocol=UDP | src_port=61645 | dst_port=123 | flags=NTP_SYNC | payload=time_sync
ts=2026-05-25T17:55:01.858+00:00 | frame_id=3 | src_ip=192.168.50.44 | dst_ip=142.250.72.238 | src_mac=b8:27:eb:0a:13:7b | dst_mac=44:65:0d:10:20:01 | protocol=TCP | src_port=54288 | dst_port=443 | flags=TLS_CLIENT_HELLO | payload=encrypted_tls_session
ts=2026-05-25T17:55:01.859+00:00 | frame_id=4 | src_ip=192.168.50.23 | dst_ip=224.0.0.251 | src_mac=28:6c:07:aa:11:09 | dst_mac=01:00:5e:00:00:fb | protocol=UDP | src_port=57747 | dst_port=123 | flags=NTP_SYNC | payload=time_sync
ts=2026-05-25T17:55:01.858+00:00 | frame_id=5 | src_ip=192.168.50.23 | dst_ip=1.1.1.1 | src_mac=28:6c:07:aa:11:09 | dst_mac=44:65:0d:10:20:01 | protocol=TCP | src_port=63113 | dst_port=5223 | flags=PUSH_SERVICE | payload=apple_push_keepalive
ts=2026-05-25T17:55:01.858+00:00 | frame_id=6 | src_ip=192.168.50.23 | dst_ip=224.0.0.251 | src_mac=28:6c:07:aa:11:09 | dst_mac=01:00:5e:00:00:fb | protocol=UDP | src_port=52690 | dst_port=5353 | flags=MDNS | payload=local_service_discovery
ts=2026-05-25T17:55:01.858+00:00 | frame_id=7 | src_ip=192.168.50.24 | dst_ip=142.250.72.238 | src_mac=f8:ff:c2:19:da:21 | dst_mac=44:65:0d:10:20:01 | protocol=TCP | src_port=56341 | dst_port=443 | flags=TLS_CLIENT_HELLO | payload=encrypted_tls_session
ts=2026-05-25T17:55:01.859+00:00 | frame_id=8 | src_ip=192.168.50.23 | dst_ip=17.253.144.10 | src_mac=28:6c:07:aa:11:09 | dst_mac=44:65:0d:10:20:01 | protocol=TCP | src_port=50708 | dst_port=5223 | flags=PUSH_SERVICE | payload=apple_push_keepalive
ts=2026-05-25T17:55:01.859+00:00 | frame_id=9 | src_ip=192.168.50.44 | dst_ip=192.168.50.1 | src_mac=b8:27:eb:0a:13:7b | dst_mac=44:65:0d:10:20:01 | protocol=UDP | src_port=51655 | dst_port=53 | flags=DNS_QUERY | payload=resolver_lookup_background_sync
ts=2026-05-25T17:55:01.859+00:00 | frame_id=10 | src_ip=192.168.50.24 | dst_ip=192.168.50.1 | src_mac=f8:ff:c2:19:da:21 | dst_mac=44:65:0d:10:20:01 | protocol=UDP | src_port=63624 | dst_port=5353 | flags=MDNS | payload=local_service_discovery
ts=2026-05-25T17:55:01.859+00:00 | frame_id=11 | src_ip=192.168.50.23 | dst_ip=224.0.0.251 | src_mac=28:6c:07:aa:11:09 | dst_mac=01:00:5e:00:00:fb | protocol=UDP | src_port=65044 | dst_port=53 | flags=DNS_QUERY | payload=resolver_lookup_background_sync
ts=2026-05-25T17:55:01.859+00:00 | frame_id=12 | src_ip=192.168.50.44 | dst_ip=192.168.50.1 | src_mac=b8:27:eb:0a:13:7b | dst_mac=44:65:0d:10:20:01 | protocol=UDP | src_port=58632 | dst_port=5353 | flags=MDNS | payload=local_service_discovery
ts=2026-05-25T17:55:01.858+00:00 | frame_id=13 | src_ip=192.168.50.23 | dst_ip=1.1.1.1 | src_mac=28:6c:07:aa:11:09 | dst_mac=44:65:0d:10:20:01 | protocol=TCP | src_port=49451 | dst_port=443 | flags=TLS_CLIENT_HELLO | payload=encrypted_tls_session
ts=2026-05-25T17:55:01.858+00:00 | frame_id=14 | src_ip=192.168.50.44 | dst_ip=17.253.144.10 | src_mac=b8:27:eb:0a:13:7b | dst_mac=44:65:0d:10:20:01 | protocol=TCP | src_port=52023 | dst_port=5223 | flags=PUSH_SERVICE | payload=apple_push_keepalive
